University 1,University 2,Uni,ALBERT,DistilBERT,DistilRoberta,MPNeTv1,MPNeTv2,MiniLM,Davinci,ada
University of Illinois,University of Edinburgh,UIUC-UEdin,0.4939962,0.43392676,0.4879137,0.6368068,0.53910834,0.47316703,0.869833272,0.861578092
University of Illinois,Monash University,UIUC-MON,0.5473202,0.44506982,0.5279127,0.62997395,0.5754805,0.50390375,0.884809032,0.874559564
University of Illinois,Imperial College London,UIUC-ICL,0.49164215,0.4136902,0.510004,0.6593229,0.58657676,0.47591332,0.880406126,0.871491453
University of Illinois,University of Hong Kong,UIUC-HKU,0.5301964,0.46560618,0.5483288,0.56378835,0.4753349,0.461084,0.844763962,0.867035254
University of Edinburgh,University of Illinois,UEdin-UIUC,0.5181747,0.4817039,0.44629607,0.6808165,0.543888,0.46533227,0.827978269,0.846687417
University of Edinburgh,Monash University,UEdin-MON,0.45321044,0.42415944,0.37520018,0.6006079,0.4726176,0.36998454,0.838216198,0.842326163
University of Edinburgh,Imperial College London,UEdin-ICL,0.42113486,0.4461895,0.43789324,0.6267324,0.48820224,0.3985078,0.839556237,0.837468725
University of Edinburgh,University of Hong Kong,UEdin-HKU,0.34942436,0.23536612,0.279671,0.5090635,0.34391347,0.17853433,0.798491348,0.802546885
Monash University,University of Illinois,MON-UIUC,0.54503405,0.5432332,0.54055524,0.670261,0.58686644,0.5174739,0.911033499,0.87921513
Monash University,University of Edinburgh,MON-UEdin,0.57205665,0.59708035,0.49830875,0.69824857,0.57019264,0.5254711,0.875352716,0.888393676
Monash University,Imperial College London,MON-ICL,0.51057994,0.5434355,0.4914683,0.6902149,0.577559,0.5094731,0.870941085,0.866517246
Monash University,University of Hong Kong,MON-HKU,0.50531435,0.48782483,0.43429196,0.57860374,0.4608683,0.44615853,0.852670579,0.859283035
Imperial College London,University of Illinois,ICL-UIUC,0.50173336,0.4735474,0.51272976,0.67118317,0.6103784,0.5133203,0.865151051,0.864227943
Imperial College London,University of Edinburgh,ICL-UEdin,0.50533867,0.5144442,0.48180813,0.67104614,0.55969447,0.49440685,0.876167959,0.866208061
Imperial College London,Monash University,ICL-MON,0.5370886,0.53859526,0.56275177,0.7233011,0.6652439,0.5360343,0.887451747,0.87605247
Imperial College London,University of Hong Kong,ICL-HKU,0.36705697,0.36556798,0.39257717,0.5461019,0.40728995,0.32669804,0.838332791,0.834642417
University of Hong Kong,University of Illinois,HKU-UIUC,0.44607195,0.37257838,0.49557486,0.5826048,0.52423924,0.44283006,0.857617006,0.853407062
University of Hong Kong,University of Edinburgh,HKU-UEdin,0.34076488,0.28887457,0.3665407,0.5155158,0.40123692,0.31154677,0.824572742,0.831389577
University of Hong Kong,Monash University,HKU-MON,0.42183605,0.35516906,0.43637732,0.5538166,0.4917914,0.45609033,0.854758101,0.856095122
University of Hong Kong,Imperial College London,HKU-ICL,0.28662834,0.23521395,0.325696,0.49328747,0.37258363,0.3161789,0.824572112,0.825778173
